SGO Report ID,SGO Report Version,Year Month,Location,Crash Type,Is NHTSA Reportable In-Transport,Is NHTSA Reportable In-Transport Delta-V Less than 1 MPH,Is Police-Reported,Is Any-Injury-Reported,Is Airbag Deployment,Is Suspected Serious Injury+,Incident Date,Location Address / Description,Zip Code
30270-7532,1,202403,PHOENIX,Single Vehicle,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,03/26/2024,W. Chandler Boulevard near N. Los Feliz Drive,85226
30270-7531,1,202403,PHOENIX,V2V F2R,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,03/25/2024,W. Missouri Avenue at N. 23rd Street,85015
30270-7530,1,202403,PHOENIX,V2V Lateral,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,03/24/2024,W. University Drive near S. Farmer Avenue,85281
30270-7529,1,202403,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,03/22/2024,Church Street at Market Street,94114
30270-7528,1,202403,PHOENIX,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,03/19/2024,S. Dorsey Lane at E. Lemon Street,85281
30270-7527,1,202403,PHOENIX,V2V F2R,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,03/17/2024,W. Ray Road and N. Price Road,85224
30270-7525,1,202403,SAN_FRANCISCO,V2V Backing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,03/07/2024,St. Germain Avenue at Glenbrook Avenue,94114
30270-7522,1,202403,PHOENIX,V2V Backing,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,03/01/2024,E Portland Street at N 5th Place,85006
30270-7515,1,202403,PHOENIX,Single Vehicle,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,03/01/2024,W Southern Avenue at S Alma School Road,85210
30270-7424,1,202403,PHOENIX,V2V Intersection,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,03/30/2024,N Drinkwater Boulevard at E 2nd Street,85251
30270-7423,1,202403,SAN_FRANCISCO,V2V F2R,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,03/30/2024,Barneveld Ave and Jerrold Avenue,94124
30270-7421,1,202403,PHOENIX,V2V Intersection,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,03/28/2024,N. 24th Street and E. Devonshire Avenue,85016
